[2026-04-16 16:41:52.623 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #135 ReqTime:"2026-04-16T16:41:52.6210005+05:30" Duration:0ms
[2026-04-16 16:41:52.627 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #136 ReqTime:"2026-04-16T16:41:52.6253887+05:30" Duration:1ms
[2026-04-16 16:41:52.631 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #137 ReqTime:"2026-04-16T16:41:52.6292600+05:30" Duration:0ms
[2026-04-16 16:41:52.634 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #138 ReqTime:"2026-04-16T16:41:52.6330254+05:30" Duration:0ms
[2026-04-16 16:41:52.639 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #139 ReqTime:"2026-04-16T16:41:52.6367793+05:30" Duration:1ms
[2026-04-16 16:41:52.643 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #140 ReqTime:"2026-04-16T16:41:52.6410190+05:30" Duration:1ms
[2026-04-16 16:41:52.647 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #141 ReqTime:"2026-04-16T16:41:52.6454511+05:30" Duration:1ms
[2026-04-16 16:41:52.651 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #142 ReqTime:"2026-04-16T16:41:52.6495385+05:30" Duration:0ms
[2026-04-16 16:41:52.656 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #143 ReqTime:"2026-04-16T16:41:52.6538210+05:30" Duration:1ms
[2026-04-16 16:41:52.660 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #144 ReqTime:"2026-04-16T16:41:52.6582676+05:30" Duration:1ms
